model,chunk,epoch,loss,accuracy
0,0,0,0.004439047193527222,0.1936
0,0,1,0.004316781401634216,0.1735
0,0,2,0.004334392786026001,0.2021
0,0,3,0.004501652836799622,0.2187
0,0,4,0.0048198632478713985,0.2652
0,0,5,0.005083572030067444,0.2961
0,0,6,0.005226974725723267,0.3362
0,0,7,0.005512163972854614,0.3539
0,0,8,0.00587518789768219,0.3626
0,0,9,0.005876757121086121,0.3807
0,0,10,0.00593087100982666,0.3899
0,0,11,0.005952194738388062,0.3913
0,0,12,0.005980975008010864,0.3944
0,0,13,0.006007609176635742,0.4
0,0,14,0.006009175109863281,0.4025
0,0,15,0.006006473708152771,0.4054
0,0,16,0.006005595111846924,0.4078
0,0,17,0.00600301399230957,0.409
0,0,18,0.005997678232192993,0.4094
0,0,19,0.005991753935813904,0.4089
0,0,20,0.005986426377296448,0.4094
0,0,21,0.005984202718734741,0.4103
0,0,22,0.005983823871612549,0.4113
0,0,23,0.0059807687520980835,0.4109
0,0,24,0.005980772256851196,0.4119
0,0,25,0.005980558466911316,0.4114
0,0,26,0.005980562973022461,0.4124
0,0,27,0.0059805256366729734,0.4124
0,0,28,0.005980764365196228,0.412
0,0,29,0.005980605363845825,0.4117
0,0,30,0.005982977104187012,0.412
0,0,31,0.005984126806259155,0.412
0,0,32,0.00598704674243927,0.4125
0,0,33,0.005989431047439576,0.4129
0,0,34,0.005994159507751465,0.4128
0,0,35,0.005998003220558166,0.4131
0,0,36,0.0059992607593536374,0.4129
0,0,37,0.006001350045204162,0.4133
0,0,38,0.006003376889228821,0.4127
0,0,39,0.006004165124893188,0.413
0,0,40,0.006005774235725403,0.4134
0,0,41,0.006009974908828736,0.4135
0,0,42,0.006014712262153625,0.413
0,0,43,0.006018786454200745,0.4134
0,0,44,0.0060220423221588135,0.4134
0,0,45,0.006023280477523804,0.4136
0,0,46,0.006024107456207275,0.4136
0,0,47,0.006027912187576294,0.4141
0,0,48,0.0060289715051651,0.4137
0,0,49,0.006031716942787171,0.4144
1,0,0,0.0044285439014434816,0.2106
1,0,1,0.004249088096618652,0.2167
1,0,2,0.004199405169487,0.2314
1,0,3,0.004432536911964416,0.2079
1,0,4,0.004898000645637512,0.2481
1,0,5,0.005021447658538818,0.3012
1,0,6,0.005596199917793274,0.3133
1,0,7,0.006178843331336975,0.3272
1,0,8,0.006026140022277832,0.3585
1,0,9,0.006118193244934082,0.3652
1,0,10,0.006439704513549804,0.3656
1,0,11,0.006327902913093567,0.371
1,0,12,0.006301503849029541,0.3808
1,0,13,0.006332398462295532,0.38
1,0,14,0.006449438762664795,0.3799
1,0,15,0.0064675849437713625,0.3839
1,0,16,0.006453902840614319,0.3903
1,0,17,0.006444710755348205,0.3942
1,0,18,0.0064420038938522335,0.3977
1,0,19,0.006441529750823975,0.3985
1,0,20,0.006434390568733215,0.4005
1,0,21,0.006429305052757264,0.4014
1,0,22,0.006424019551277161,0.4008
1,0,23,0.006420739483833313,0.4013
1,0,24,0.006416649460792541,0.4003
1,0,25,0.006412280368804931,0.4008
1,0,26,0.0064100901126861575,0.4009
1,0,27,0.0064084799528121945,0.401
1,0,28,0.00640892231464386,0.3999
1,0,29,0.006409276223182678,0.4
1,0,30,0.006412046623229981,0.4001
1,0,31,0.006413559746742249,0.4002
1,0,32,0.006418654656410217,0.4006
1,0,33,0.0064193680047988895,0.4009
1,0,34,0.00642065622806549,0.4009
1,0,35,0.006421963691711426,0.4011
1,0,36,0.00642352020740509,0.4008
1,0,37,0.006422818374633789,0.4006
1,0,38,0.006423635673522949,0.4009
1,0,39,0.006425227189064026,0.4003
1,0,40,0.00642714102268219,0.4008
1,0,41,0.006429150629043579,0.4009
1,0,42,0.006433081102371216,0.4011
1,0,43,0.006435077166557312,0.4009
1,0,44,0.006434479331970215,0.4011
1,0,45,0.006443832802772522,0.4014
1,0,46,0.0064477930784225465,0.4012
1,0,47,0.006447420382499695,0.4013
1,0,48,0.0064467550039291385,0.4016
1,0,49,0.0064497408151626585,0.4016
2,0,0,0.004431103348731994,0.223
2,0,1,0.004326739144325256,0.1852
2,0,2,0.004264599847793579,0.2106
2,0,3,0.004332528662681579,0.2294
2,0,4,0.004379437208175659,0.2839
2,0,5,0.004858926606178283,0.3056
2,0,6,0.005204181694984436,0.3303
2,0,7,0.005478540182113648,0.3525
2,0,8,0.005710041308403015,0.3696
2,0,9,0.005936893081665039,0.371
2,0,10,0.006065866661071778,0.376
2,0,11,0.006183971643447876,0.3796
2,0,12,0.006251652050018311,0.3815
2,0,13,0.006262416267395019,0.3834
2,0,14,0.006247089290618896,0.3863
2,0,15,0.006223151826858521,0.3894
2,0,16,0.00620420229434967,0.39
2,0,17,0.006187527227401734,0.3917
2,0,18,0.006176847672462463,0.3926
2,0,19,0.006167800354957581,0.3928
2,0,20,0.006162152934074402,0.3934
2,0,21,0.00616045401096344,0.3939
2,0,22,0.006160642790794373,0.3956
2,0,23,0.006161182713508606,0.3948
2,0,24,0.006161839652061463,0.3954
2,0,25,0.006160577821731568,0.3962
2,0,26,0.006165146851539612,0.3949
2,0,27,0.006166933488845825,0.3942
2,0,28,0.006170920801162719,0.395
2,0,29,0.006175566911697388,0.394
2,0,30,0.0061778675317764285,0.3943
2,0,31,0.006180673193931579,0.3948
2,0,32,0.006184318089485169,0.3949
2,0,33,0.00618632230758667,0.3952
2,0,34,0.006190562438964844,0.395
2,0,35,0.006190574288368225,0.3946
2,0,36,0.00619176709651947,0.3948
2,0,37,0.0061934732913970945,0.3946
2,0,38,0.006200111603736878,0.394
2,0,39,0.006203597068786621,0.3946
2,0,40,0.006204094052314759,0.3943
2,0,41,0.006208317089080811,0.3945
2,0,42,0.0062111328125,0.3948
2,0,43,0.006213650441169739,0.3951
2,0,44,0.006216884875297546,0.3945
2,0,45,0.006216996169090271,0.3947
2,0,46,0.006221887469291687,0.3958
2,0,47,0.006224393320083618,0.3953
2,0,48,0.006225685501098633,0.3959
2,0,49,0.0062291836500167844,0.3954
3,0,0,0.004495677042007446,0.1466
3,0,1,0.004390435075759888,0.1653
3,0,2,0.004355348896980285,0.2114
3,0,3,0.004628333449363709,0.2163
3,0,4,0.004800121402740478,0.2522
3,0,5,0.005241253089904785,0.2885
3,0,6,0.005495888519287109,0.318
3,0,7,0.0057920799732208254,0.3435
3,0,8,0.005809003806114197,0.3729
3,0,9,0.005800131034851074,0.3892
3,0,10,0.005851481080055237,0.3933
3,0,11,0.005868580913543702,0.3958
3,0,12,0.005909427785873413,0.4003
3,0,13,0.005943010020256043,0.4006
3,0,14,0.005970599746704101,0.405
3,0,15,0.005997229695320129,0.4046
3,0,16,0.005991755938529969,0.4056
3,0,17,0.005974568462371826,0.4067
3,0,18,0.005963256549835205,0.4077
3,0,19,0.005955599617958069,0.4083
3,0,20,0.005950492024421692,0.4095
3,0,21,0.005944073987007141,0.409
3,0,22,0.005939613270759582,0.4083
3,0,23,0.005935996985435486,0.4087
3,0,24,0.005932748556137085,0.4093
3,0,25,0.005931662774085998,0.4092
3,0,26,0.005931465482711792,0.4101
3,0,27,0.005931762886047363,0.4102
3,0,28,0.005930470561981201,0.4108
3,0,29,0.0059302276849746705,0.4115
3,0,30,0.005932170009613037,0.412
3,0,31,0.005933529996871949,0.4121
3,0,32,0.005934574055671692,0.4118
3,0,33,0.00593835186958313,0.4118
3,0,34,0.005935400414466858,0.4127
3,0,35,0.005935227274894714,0.4119
3,0,36,0.005939025902748108,0.4118
3,0,37,0.00594055860042572,0.412
3,0,38,0.0059430459022521975,0.4121
3,0,39,0.005944931268692016,0.4121
3,0,40,0.005949046754837036,0.4122
3,0,41,0.005950186800956726,0.4125
3,0,42,0.005949110269546509,0.4127
3,0,43,0.0059522128343582155,0.4119
3,0,44,0.005953936123847961,0.4121
3,0,45,0.005955800986289978,0.4118
3,0,46,0.005959830570220947,0.4116
3,0,47,0.0059609500169754024,0.4116
3,0,48,0.005965123057365417,0.4118
3,0,49,0.005967535185813904,0.412
4,0,0,0.0044553035736083985,0.1943
4,0,1,0.00428131947517395,0.2016
4,0,2,0.0042619611501693725,0.2125
4,0,3,0.0042873970031738285,0.2295
4,0,4,0.004519284296035766,0.2625
4,0,5,0.00487903413772583,0.311
4,0,6,0.00544239866733551,0.3231
4,0,7,0.005532941341400146,0.3509
4,0,8,0.005663100337982178,0.374
4,0,9,0.00570180606842041,0.3941
4,0,10,0.005938270425796509,0.3988
4,0,11,0.005823783469200134,0.4045
4,0,12,0.005873363327980042,0.4066
4,0,13,0.005917228841781616,0.4086
4,0,14,0.005959448075294495,0.408
4,0,15,0.005989617609977722,0.4072
4,0,16,0.006008819651603698,0.4077
4,0,17,0.006013030457496643,0.4079
4,0,18,0.006015863132476807,0.4094
4,0,19,0.006016005516052246,0.4095
4,0,20,0.006014039373397827,0.4111
4,0,21,0.006014569640159607,0.4101
4,0,22,0.0060129771471023555,0.4102
4,0,23,0.006013065099716186,0.4109
4,0,24,0.006014547634124756,0.4108
4,0,25,0.006016356945037842,0.4119
4,0,26,0.006019517016410828,0.4128
4,0,27,0.006022995138168335,0.4128
4,0,28,0.006024439191818237,0.4125
4,0,29,0.006026028418540955,0.4123
